subject	method	block	trail	ct
4	random	1	4	15002
4	random	1	5	8956
4	random	1	6	7764
4	random	1	7	8533
4	random	1	8	6268
4	random	1	9	2908
4	random	1	10	4202
4	random	2	1	7219
4	random	2	2	7428
4	random	2	3	4412
4	random	2	4	8868
4	random	2	5	8860
4	random	2	6	4756
4	random	2	7	11492
4	random	2	8	2772
4	random	2	9	2509
4	random	2	10	5844
4	random	3	1	2628
4	random	3	2	1404
4	random	3	3	2836
4	random	3	4	10869
4	random	3	5	4493
4	random	3	6	2044
4	random	3	7	8029
4	random	3	8	5436
4	random	3	9	8427
4	random	3	10	6821
4	random	4	1	6548
4	random	4	2	2372
4	random	4	3	3388
4	random	4	4	4765
4	random	4	5	2846
4	random	4	6	6245
4	random	4	7	9083
4	random	4	8	3777
4	random	4	9	7428
4	random	4	10	8475
4	user	1	1	5198
4	user	1	2	13185
4	user	1	3	4652
4	user	1	4	6036
4	user	1	5	3693
4	user	1	6	3547
4	user	1	7	11188
4	user	1	8	4828
4	user	1	9	15000
4	user	1	10	3024
4	user	2	1	2972
4	user	2	2	3981
4	user	2	3	3980
4	user	2	4	2020
4	user	2	5	2795
4	user	2	6	2029
4	user	2	7	2229
4	user	2	8	9332
4	user	2	9	4884
4	user	2	10	3036
4	user	3	1	3925
4	user	3	2	2060
4	user	3	3	3611
4	user	3	4	2386
4	user	3	5	2892
4	user	3	6	8325
4	user	3	7	1828
4	user	3	8	5124
4	user	3	9	8380
4	user	3	10	4469
4	user	4	1	2987
4	user	4	2	2756
4	user	4	3	8037
4	user	4	4	2557
4	user	4	5	2076
4	user	4	6	2125
4	user	4	7	4077
4	user	4	8	3891
4	user	4	9	6781
4	user	4	10	1900
