ID	cond	phase	blk	tri	targetId	err	comp	distance	ct	clk	TimeOUt
A1	plain	1	1	1	6	0	TRUE	0	2127	1	0
A1	plain	1	1	2	3	3	TRUE	0	6029	4	0
A1	plain	1	1	3	12	1	TRUE	0	3968	2	0
A1	plain	1	1	4	15	0	TRUE	0	2760	1	0
A1	plain	1	1	5	0	0	TRUE	0	2360	1	0
A1	plain	1	1	6	9	0	TRUE	0	3007	1	0
A1	plain	1	2	1	12	0	TRUE	0	6576	1	0
A1	plain	1	2	2	15	0	TRUE	0	5017	1	0
A1	plain	1	2	3	3	0	TRUE	0	3208	1	0
A1	plain	1	2	4	9	2	TRUE	0	5695	3	0
A1	plain	1	2	5	0	0	TRUE	0	2433	1	0
A1	plain	1	2	6	6	0	TRUE	0	2960	1	0
A1	plain	1	3	1	15	0	TRUE	0	3519	1	0
A1	plain	1	3	2	3	0	TRUE	0	2744	1	0
A1	plain	1	3	3	9	1	TRUE	0	4535	2	0
A1	plain	1	3	4	6	0	TRUE	0	2392	1	0
A1	plain	1	3	5	0	0	TRUE	0	2248	1	0
A1	plain	1	3	6	12	0	TRUE	0	2552	1	0
A1	plain	2	1	1	10	3	TRUE	0	9299	4	0
A1	plain	2	1	2	9	0	TRUE	0	3776	1	0
A1	plain	2	1	3	4	0	TRUE	0	4055	1	0
A1	plain	2	1	4	6	0	TRUE	0	3961	1	0
A1	plain	2	1	5	13	0	TRUE	0	3320	1	0
A1	plain	2	1	6	16	0	TRUE	0	3800	1	0
A1	plain	2	1	7	15	0	TRUE	0	3968	1	0
A1	plain	2	1	8	3	0	TRUE	0	2903	1	0
A1	plain	2	1	9	0	0	TRUE	0	2409	1	0
A1	plain	2	1	10	12	0	TRUE	0	2927	1	0
A1	plain	2	1	11	7	2	TRUE	0	7209	3	0
A1	plain	2	1	12	1	0	TRUE	0	2552	1	0
A1	plain	2	2	1	12	1	TRUE	0	6408	2	0
A1	plain	2	2	2	13	1	TRUE	0	3768	2	0
A1	plain	2	2	3	9	0	TRUE	0	4256	1	0
A1	plain	2	2	4	15	0	TRUE	0	2704	1	0
A1	plain	2	2	5	1	0	TRUE	0	2607	1	0
A1	plain	2	2	6	16	0	TRUE	0	3687	1	0
A1	plain	2	2	7	10	0	TRUE	0	5760	1	0
A1	plain	2	2	8	7	0	TRUE	0	6416	1	0
A1	plain	2	2	9	0	0	TRUE	0	2791	1	0
A1	plain	2	2	10	3	0	TRUE	0	2776	1	0
A1	plain	2	2	11	4	0	TRUE	0	2249	1	0
A1	plain	2	2	12	6	4	TRUE	0	12342	5	0
A1	plain	2	3	1	12	0	TRUE	0	3198	1	0
A1	plain	2	3	2	1	0	TRUE	0	3064	1	0
A1	plain	2	3	3	0	0	TRUE	0	2687	1	0
A1	plain	2	3	4	16	0	TRUE	0	3064	1	0
A1	plain	2	3	5	15	0	TRUE	0	2487	1	0
A1	plain	2	3	6	7	1	TRUE	0	5127	2	0
A1	plain	2	3	7	4	0	TRUE	0	2072	1	0
A1	plain	2	3	8	6	0	TRUE	0	2872	1	0
A1	plain	2	3	9	13	0	TRUE	0	5168	1	0
