ID	cond	phase	blk	tri	targetId	err	comp	distance	ct	clk	TimeOUt
S1	autolabel	P3	B2	10	8	0	TRUE	0	3688	1	0
S1	autolabel	P3	B2	11	9	0	TRUE	0	3040	1	0
S1	autolabel	P3	B2	12	1	0	TRUE	0	5559	1	0
S1	autolabel	P3	B2	13	13	0	TRUE	0	2729	1	0
S1	autolabel	P3	B2	14	14	0	TRUE	0	3879	1	0
S1	autolabel	P3	B2	15	5	0	TRUE	0	3688	1	0
S1	autolabel	P3	B3	1	0	0	TRUE	0	2888	1	0
S1	autolabel	P3	B3	2	4	0	TRUE	0	3088	1	0
S1	autolabel	P3	B3	3	12	1	TRUE	0	4000	2	0
S1	autolabel	P3	B3	4	3	0	TRUE	0	3192	1	0
S1	autolabel	P3	B3	5	8	0	TRUE	0	3415	1	0
S1	autolabel	P3	B3	6	7	6	TRUE	0	23400	7	0
S1	autolabel	P3	B3	7	1	0	TRUE	0	4400	1	0
S1	autolabel	P3	B3	8	11	0	TRUE	0	4376	1	0
S1	autolabel	P3	B3	9	2	0	TRUE	0	2976	1	0
S1	autolabel	P3	B3	10	6	0	TRUE	0	3440	1	0
S1	autolabel	P3	B3	11	13	1	TRUE	0	6472	2	0
S1	autolabel	P3	B3	12	10	0	TRUE	0	3393	1	0
S1	autolabel	P3	B3	13	14	0	TRUE	0	2879	1	0
S1	autolabel	P3	B3	14	9	0	TRUE	0	3168	1	0
S1	autolabel	P3	B3	15	5	0	TRUE	0	2960	1	0
S1	plain	P1	B1	1	6	1	TRUE	0	7044	2	0
S1	plain	P1	B1	2	3	0	TRUE	0	5919	1	0
S1	plain	P1	B1	3	0	0	TRUE	0	3528	1	0
S1	plain	P1	B1	4	12	4	TRUE	0	16599	5	0
S1	plain	P1	B1	5	9	1	TRUE	0	6888	2	0
S1	plain	P1	B2	1	12	0	TRUE	0	3471	1	0
S1	plain	P1	B2	2	6	0	TRUE	0	2671	1	0
S1	plain	P1	B2	3	3	1	TRUE	0	4447	2	0
S1	plain	P1	B2	4	0	0	TRUE	0	2545	1	0
S1	plain	P1	B2	5	9	0	TRUE	0	3903	1	0
S1	plain	P1	B3	1	0	0	TRUE	0	3096	1	0
S1	plain	P1	B3	2	12	0	TRUE	0	3951	1	0
S1	plain	P1	B3	3	9	0	TRUE	0	3583	1	0
S1	plain	P1	B3	4	6	0	TRUE	0	3152	1	0
S1	plain	P1	B3	5	3	0	TRUE	0	3960	1	0
S1	plain	P2	B1	1	1	0	TRUE	0	5238	1	0
S1	plain	P2	B1	2	3	0	TRUE	0	3975	1	0
S1	plain	P2	B1	3	12	0	TRUE	0	3624	1	0
S1	plain	P2	B1	4	10	1	TRUE	0	4671	2	0
S1	plain	P2	B1	5	9	2	TRUE	0	6720	3	0
S1	plain	P2	B1	6	4	0	TRUE	0	3280	1	0
S1	plain	P2	B1	7	13	0	TRUE	0	3087	1	0
S1	plain	P2	B1	8	7	3	TRUE	0	9752	4	0
S1	plain	P2	B1	9	6	0	TRUE	0	2784	1	0
S1	plain	P2	B1	10	0	0	TRUE	0	3288	1	0
S1	plain	P2	B2	1	3	0	TRUE	0	3872	1	0
